date,open,high,low,close
1/1/2020,5.95,5.95,5.95,5.95
1/2/2020,5.95,5.96,5.94,5.95
1/3/2020,5.95,5.98,5.95,5.96
1/6/2020,5.97,5.98,5.96,5.97
1/7/2020,5.97,5.98,5.95,5.97
1/8/2020,5.98,5.98,5.91,5.97
1/9/2020,5.91,5.93,5.86,5.91
1/10/2020,5.88,5.89,5.86,5.88
1/13/2020,5.88,5.88,5.85,5.88
1/14/2020,5.87,5.9,5.86,5.87
1/15/2020,5.88,5.9,5.87,5.89
1/16/2020,5.88,5.89,5.84,5.88
1/17/2020,5.86,5.91,5.85,5.86
1/20/2020,5.89,5.92,5.89,5.89
1/21/2020,5.91,5.94,5.91,5.91
1/22/2020,5.93,5.94,5.92,5.93
1/23/2020,5.92,5.94,5.91,5.92
1/24/2020,5.93,5.95,5.92,5.93
1/27/2020,5.95,5.96,5.94,5.94
1/28/2020,5.94,5.95,5.93,5.94
1/29/2020,5.94,5.97,5.94,5.94
1/30/2020,5.96,5.99,5.96,5.96
1/31/2020,5.98,5.99,5.97,5.97
2/3/2020,5.98,5.98,5.98,5.98
2/4/2020,5.98,5.99,5.96,5.98
2/5/2020,5.98,5.99,5.97,5.98
2/6/2020,5.98,5.99,5.98,5.98
2/7/2020,5.99,6.04,5.98,5.99
2/10/2020,5.99,6.02,5.97,5.99
2/11/2020,6.01,6.05,6.0,6.01
2/12/2020,6.02,6.06,6.0,6.02
2/13/2020,6.04,6.06,6.04,6.04
2/14/2020,6.04,6.07,6.04,6.04
2/17/2020,6.05,6.06,6.04,6.05
2/18/2020,6.05,6.07,6.04,6.05
2/19/2020,6.06,6.08,6.05,6.06
2/20/2020,6.08,6.11,6.08,6.08
2/21/2020,6.1,6.12,6.08,6.1
2/24/2020,6.11,6.16,6.09,6.11
2/25/2020,6.12,6.16,6.07,6.12
2/26/2020,6.15,6.16,6.14,6.15
2/27/2020,6.16,6.19,6.15,6.16
2/28/2020,6.21,6.26,6.2,6.21
3/2/2020,6.25,6.25,6.2,6.25
3/3/2020,6.17,6.22,6.03,6.17
3/4/2020,6.11,6.14,6.06,6.11
3/5/2020,6.08,6.12,6.06,6.08
3/6/2020,6.1,6.13,6.07,6.1
3/9/2020,6.12,6.19,6.09,6.12
3/10/2020,6.16,6.16,6.1,6.16
3/11/2020,6.17,6.2,6.13,6.17
3/12/2020,6.21,6.31,6.21,6.21
3/13/2020,6.32,6.32,6.25,6.32
3/16/2020,6.29,6.42,6.28,6.28
